ko	17-2-10	17-2-2	17-2-4	17-2-6	18-1-1	18-1-3	18-1-4	18-1-6	19-1-12	19-1-2	19-1-4	19-1-6	23-1-10	23-1-16	24-1-2	24-1-8	27-1-2	27-1-4	27-1-8	28-1-2	28-1-4	28-1-6	29-1-2	29-1-4	29-1-6	30-1-2	30-1-4	30-1-6	31-1-16	31-1-2	31-1-8	32-1-4	32-1-8	33-1-10	33-1-2	33-1-6	34-1-16	34-1-24	38-1-10	38-1-14	38-1-2	39-1-8	52-1-2	53-1-2	54-1-10	54-1-3	56-1-2	57-1-2	58-1-10	58-1-2	59-1-20	59-1-24	65-1-2	66-1-2	67-1-15	67-1-2	68-1-2	69-1-2	70-1-10	70-1-2
ko:K00370	6.893098134891621e-06	3.926881720657774e-06	4.355290889152575e-06	0.0	2.0787715725596462e-06	3.562208068388224e-06	5.608268913120644e-07	1.591025073568137e-06	2.4524831294981273e-06	2.496665554441242e-06	5.397087764619854e-06	7.617445144444542e-07	5.156220897481539e-06	5.470698341401296e-06	2.5097031954286903e-06	3.996787432010791e-06	0.0	3.4930672236320355e-06	6.2418466218681805e-06	0.0	0.0	3.377222666697088e-06	5.3330744981219595e-06	2.0022220709359234e-06	6.032062370459889e-06	1.0366083781980578e-06	5.937474977483115e-06	0.0	7.567007565065959e-07	0.0	0.0	0.0	2.834144306455861e-07	0.0	0.0	0.0	0.0	1.4207184107163433e-06	0.0	1.8570233594763164e-06	0.0	2.3191441350096177e-07	2.7877849142516135e-07	1.1981932940078696e-06	0.0	0.0	0.0	1.0690539160702588e-06	6.201084812220794e-07	0.0	3.150523055873369e-07	2.4458562170885146e-06	2.5869407764396396e-07	0.0	2.2904186656946496e-06	2.1203015691369978e-06	0.0	4.6309973558208486e-07	1.8353484399566455e-06	8.631889366162995e-07
ko:K00376	1.7740238563410324e-06	0.0	1.5122766855872047e-06	1.9995364657060364e-06	4.726898971551168e-06	4.21320001729686e-06	7.606444111012696e-07	0.0	3.875533178189481e-06	2.091031845225106e-06	0.0	1.5368085584321577e-06	7.2527144785403005e-06	3.453729367438282e-06	0.0	2.3835781904394015e-06	0.0	1.9506375932178335e-06	1.0835785437981795e-05	3.2088441365798183e-06	1.5711356564645055e-06	2.554913605763275e-06	9.203266369912438e-07	5.7721360056471495e-06	8.230295426056083e-06	0.0	0.0	6.992158314759225e-06	1.2444642118868323e-06	0.0	0.0	5.887041874897784e-07	0.0	0.0	0.0	6.566469886927628e-07	0.0	4.762373290529021e-07	1.544422740090601e-07	2.1836018163829008e-06	0.0	0.0	1.6156728722658666e-06	1.916134796166092e-06	1.0817758686537223e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.2902796959847009e-06	1.0967398274546201e-06	5.839065141557462e-07	0.0	1.138916711226693e-06	0.0	0.0	9.690215659211612e-07	1.0158508865901622e-06
ko:K02588	8.829410728235563e-07	4.79021801843015e-07	0.0	0.0	3.975537677202324e-06	4.5766200658043447e-07	0.0	5.476573636418884e-07	1.3058646071992352e-05	1.5087900462869237e-06	7.576878648021585e-07	2.7922522463713622e-06	6.3978497372651e-06	8.93714182384683e-06	1.6711785800359468e-06	2.775528040895612e-06	9.579158858379003e-07	3.024978160720612e-06	1.1017859645911321e-05	6.00660699973596e-06	1.5557642386470756e-06	1.0121945555453661e-05	1.3587126790971553e-07	1.271431134377515e-06	9.259520091032992e-06	2.8361853224238264e-06	3.800395563883331e-06	2.1811289836559033e-06	0.0	4.640975775780547e-07	0.0	0.0	3.505084591249493e-07	1.396348477044729e-06	0.0	3.380619030769944e-07	0.0	3.9505610928552354e-06	0.0	0.0	0.0	5.621289136335811e-07	0.0	0.0	7.343989497701531e-07	0.0	0.0	0.0	9.907480332168855e-07	0.0	0.0	2.819172630833029e-07	0.0	0.0	2.2682997749736815e-06	4.215301462184824e-07	1.4812621501614388e-06	0.0	6.011633620456925e-07	0.0
ko:K03385	2.642801382231818e-06	3.69977003779105e-06	6.903871825506804e-07	3.205817104514239e-06	4.6384596293054745e-06	1.976890897109705e-06	0.0	7.426573711136889e-07	8.26993759014214e-06	1.6228343457369156e-06	1.363048898451383e-06	5.4895816989939705e-06	7.68512660072054e-06	1.664092944636024e-05	2.6021285255719563e-07	6.22993975901724e-06	3.1335398991651263e-06	0.0	1.3708495506439445e-05	0.0	0.0	2.6718776010878133e-06	0.0	2.3008067277295753e-06	6.109789116467349e-06	3.1350080360791925e-06	0.0	8.581703235859733e-07	9.938507588111573e-07	1.4011797076239564e-06	4.999232714060101e-07	0.0	9.969227901766252e-07	1.0423190839338403e-06	1.324986455058509e-06	1.404448706087673e-06	0.0	8.427376449235918e-07	5.310692764904387e-07	1.9022307495621633e-06	0.0	2.0356931851751088e-07	0.0	0.0	5.981711242117189e-07	0.0	0.0	0.0	5.483147512078183e-07	6.165901403921729e-07	0.0	7.731908059246705e-07	3.6307940721959854e-07	0.0	0.0	0.0	0.0	0.0	1.4109473704232162e-06	3.858914082176914e-07
ko:K04561	4.66979237906924e-06	9.066658709962428e-07	7.509235956019223e-07	4.88919890042665e-06	6.2185485475512514e-06	5.28039628151048e-06	1.1113159597428005e-06	4.641608569460556e-07	3.7245083253376537e-06	5.073827271502095e-07	8.318670963212509e-07	2.987009641543375e-07	5.997397866222679e-06	2.530916204012019e-06	0.0	2.1213508922073527e-06	9.845255327775453e-07	4.1307619621083535e-07	1.4280968751782564e-05	4.681257489277663e-07	2.8798081479609063e-06	4.203146532714598e-06	4.873316325027434e-07	9.116689449684783e-07	9.842452295821955e-06	3.437441344987372e-06	1.2919459726643715e-06	3.306547595292586e-06	3.8758288945393896e-07	0.0	0.0	9.017066893782832e-07	6.618464160740854e-07	7.361100845104803e-07	0.0	3.3154576736781803e-06	0.0	2.0372791377996656e-06	8.271029736735267e-07	0.0	1.0718880626242312e-05	0.0	0.0	0.0	1.099948387806272e-06	0.0	3.1314341284932856e-07	0.0	6.501783967985811e-07	0.0	3.1379811647273757e-07	1.2084865210056602e-06	0.0	2.919532570778731e-07	2.9895512541297796e-06	0.0	0.0	3.414627797171702e-07	0.0	0.0
ko:K10535	5.710079415605314e-06	3.2017305450948634e-06	2.368395753173365e-06	0.0	3.7117648996846834e-06	3.943683248193105e-07	7.83118224779414e-06	8.937701255635047e-07	2.9566659044563475e-06	1.9875498474671214e-06	0.0	9.092359264084905e-07	6.166441663959481e-06	1.2458643922087113e-05	2.9692214462556794e-06	9.262765718136542e-06	1.2343105880757136e-06	0.0	1.697943457922655e-05	2.358466619906741e-06	0.0	6.880262440410561e-06	2.7814857820814776e-06	5.380241253225661e-07	9.107853873517768e-06	1.2998444238855134e-06	0.0	6.203104819411156e-06	0.0	9.221464900454948e-07	1.2982312922949235e-06	0.0	0.0	0.0	0.0	2.244236543633493e-07	4.808161585675092e-07	0.0	4.7374294997058785e-07	8.166505200837563e-07	0.0	0.0	0.0	5.897649235303532e-07	3.738569526323242e-07	4.259263365461881e-07	1.6060832073092517e-06	5.99920480159293e-07	1.616211043263488e-06	1.3770513135425195e-06	0.0	2.296041241833554e-06	0.0	0.0	1.7836333013286792e-06	1.5505792302921644e-06	8.220386366890803e-07	0.0	8.306935072660571e-07	9.485840812760462e-06
ko:K10944	1.0112392451132951e-05	1.8267780578759046e-06	1.2568583681387175e-06	1.869978603357005e-06	1.2153706012307824e-06	4.611770548619305e-06	7.532850942145172e-07	0.0	3.1668807641768755e-06	0.0	2.91487377677495e-06	4.117392582542581e-06	9.485945138332203e-06	3.852028855551891e-06	1.2704721570219926e-07	6.5556870745212405e-06	0.0	1.75287314892705e-06	1.2204737151013557e-05	1.4761253052337463e-06	1.6700190023700424e-06	5.820782878254268e-06	5.6322636762339134e-06	2.346705154585602e-06	7.318069228959808e-06	1.1567607129437418e-07	1.590305556355565e-06	2.4475785200369007e-06	1.1991133116009167e-06	3.2187412638477985e-07	0.0	0.0	8.089633639949012e-07	1.4845709545207794e-06	6.47757652415671e-07	0.0	0.0	3.249971536008121e-06	2.450931739708997e-07	0.0	0.0	0.0	0.0	4.3975503008883484e-07	0.0	0.0	0.0	5.009645246691004e-07	0.0	1.341353989625078e-07	0.0	1.1952375337969482e-06	0.0	5.839065141557462e-07	3.2991320474190647e-06	1.2298530040459755e-06	9.024934819820541e-07	0.0	2.8424633845467566e-07	1.3013272306319228e-06
ko:K15864	7.2435277170714835e-06	5.969291743645596e-07	1.1276459831165747e-06	5.44766493953177e-07	4.421392397716024e-06	5.181782853666534e-06	9.001659273916684e-07	5.585002114895469e-06	2.835256406338127e-06	0.0	1.5456011674924507e-06	2.2632169731990513e-06	9.808557504610942e-06	2.440450528368611e-06	6.584597631017209e-07	7.221957325729134e-06	9.428128846187185e-07	2.0581045710938233e-06	1.745007870237597e-05	2.1423317639518274e-06	0.0	5.046312202431982e-06	0.0	5.845822689416142e-06	3.981344373189893e-06	0.0	1.1979451696723257e-07	3.1753914704016727e-06	1.811144708627924e-06	2.580542564981425e-07	0.0	0.0	5.603561010480429e-07	1.177072590253581e-06	4.0314986758737563e-07	9.531528738774812e-07	0.0	2.459112180985419e-06	4.6017493888413817e-07	1.1404524997911077e-06	0.0	0.0	0.0	0.0	1.4320428000377656e-06	0.0	5.242812772917742e-07	0.0	6.784903089952845e-07	1.433724702864931e-06	0.0	9.68200701498212e-07	9.341730581587587e-07	0.0	1.4824066145375392e-06	1.3204558797205472e-07	0.0	0.0	1.783320314767747e-06	0.0
