"Cluster","pH (na)","Oxygen (μmol/kg)","Phosphate (μmol/kg)","Nitrate (μmol/kg)","Nitrite (μmol/kg)","Ammonium (μmol/kg)","Chlorophyll (μg/kg)","Silicate (μmol/kg)","DIC (μmol/kg)","Salinity (ppt)","Transmissivity (%)","Temperature (°C)"
"Surface",8.01466666666667,185.146666666667,0.02,0.0946666666666667,0.006,0.146,0.151333333333333,1.554,1982.31333333333,34.7346666666667,95.3926666666667,28.362
"Platform",8.01181818181818,185.418181818182,0.0181818181818182,0.212727272727273,0.0445454545454545,0.129090909090909,0.316363636363636,1.14818181818182,2071.64545454545,36.8127272727273,95.9854545454545,27.4472727272727
"Shallow Sinkhole",8.00357142857143,177.128571428571,0.0378571428571429,0.763571428571429,0.103571428571429,0.161428571428571,0.199285714285714,1.14142857142857,2108.3,37.1221428571429,96.3228571428571,26.0007142857143
"Deep Sinkhole",7.895,165.95,0.1125,2.1325,0.08375,0.0775,0.10125,2.8275,2225.55,37.13625,96.17,24.95375
"Acid Lake",6.24666666666667,61.4666666666667,0.961666666666667,17.0616666666667,0.03,0.0783333333333333,0.04,29.45,5164.11666666667,36.5133333333333,90.5566666666667,20.3116666666667
"Mesopelagic",7.86,124,1.465,23.925,0.01,0.09,0.065,11.82,2199.25,35.355,95.72,10.915
