classification,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
p__Marinisomatota,-1.0478675645527082,-1.356298912479548,-1.2009085536789053,-1.3869041818644017,-1.4033718877986219,-1.3951568249406756
p__Mcinerneyibacteriota,-6.587957598159348,-6.693845515473681,-6.693893298826427,-7.214898063319957,-7.108648001298136,-7.149989700827947
p__Methanobacteriota,-4.558639828431257,-4.872557654447771,-4.834045190131256,-4.952340985432547,-4.812111855570255,-4.92313842865261
p__Methylomirabilota,-3.289623153215024,-4.487796702288552,-4.279879764520908,-5.224023932726482,-4.854782518049244,-5.742871871586346
p__Micrarchaeota,-4.910704637813769,-5.226764617769094,-5.281343772671147,-5.419660855141122,-5.359162462715077,-5.327081563058108
p__Moduliflexota,-4.98482611996022,-5.095415305530191,-5.0370789761153985,-5.581084494850197,-5.427562594294474,-5.819583487528291
p__Muirbacteria,-6.962538689665805,-6.780825482763386,-6.6097099931089796,-7.018266714543843,-6.917560531238267,-6.737034872792747
p__Myxococcota,-1.687675812135178,-2.07008675408738,-1.93548153122929,-2.0592744388355673,-2.045175210310466,-2.5454152500159446
p__NPL-UPA2,-6.199054916267441,-6.6178328880797,-6.249040681361267,-6.559228144086745,-6.784940735440875,-7.139088614028587
p__Nanoarchaeota,-2.4929649074989144,-2.632922078390474,-3.0272234286214705,-2.743561445568846,-2.8257029299332665,-2.9344268797803656
p__Nanohaloarchaeota,-6.818697310215222,-6.456092857499605,-6.584644908978797,-6.778205161701287,-6.375567276646047,-6.768551056561154
p__Nitrospinota,-1.4788525423018106,-2.256951587885243,-1.893171740483047,-4.205110638480801,-3.1159690799050392,-4.915844551986708
p__Nitrospinota_A,-2.9492871977332027,-2.8792243386542355,-3.95627666449723,-4.1511402720401085,-3.151696817660991,-5.98544539541151
p__Nitrospinota_B,-5.876558704901314,-6.4264161966620374,-6.020335695460107,-6.782138341116015,-6.562774921563749,-7.041324369732862
p__Nitrospirota,-3.5635730870803424,-3.479761716834339,-2.943945937911359,-4.457857129410478,-4.148972563596301,-4.595558071972964
p__Nitrospirota_A,-6.489016486814293,-6.615549062928916,-6.561243118572784,-6.916376452355806,-6.59161718577897,-6.957161582829707
p__OLB16,-5.036105551009046,-5.145763348187315,-5.007244266125776,-5.820379456650505,-5.4103593997195185,-6.152536015601861
p__Omnitrophota,-3.284791132834417,-4.137835251727688,-3.7858802109953342,-4.664568514048118,-4.102733906017939,-4.947909470789987
p__PWEA01,-6.023668987360198,-6.4460697914427145,-6.4781511789831345,-6.626174130977396,-6.516237732870591,-6.782171174893841
p__Patescibacteria,-2.5394957002814253,-3.4598853195608585,-3.3822349090756747,-3.518082065868308,-3.4504552780349007,-3.510251026808405
