"","Module","KO","Sub_MO","Class"
"173",M00356,K14080;K04480;K14081;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K14126;K14128;K14127;K22516;K00125,NA,Pathway modules; Energy metabolism; Methane metabolism
"174",M00357,K00925;K00625;K01895;K00193;K00197;K00194;K00577;K00578;K00579;K00580;K00581-K00582-K00583;K00584;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K14126;K14128;K14127;K22516;K00125,NA,Pathway modules; Energy metabolism; Methane metabolism
"175",M00358,K08097;K05979;K05884;K13039;K06034,NA,Pathway modules; Energy metabolism; Methane metabolism
"176",M00363,K11006;K11007,NA,Signature modules; Gene set; Pathogenicity
"177",M00364,K01823;K00795;K13789;K13787,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"178",M00365,K01823;K13787,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"179",M00366,K01823;K14066;K00787;K13789,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"180",M00367,K01823;K00787;K00804,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"181",M00368,K00789;K20772;K01762;K05933,NA,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
"182",M00369,K13027;K13029;K13030,NA,Pathway modules; Amino acid metabolism; Other amino acid metabolism
"183",M00370,K11812;K11813;K11818;K11819;K11820;K11821,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"184",M00371,K09587;K12639;K09588;K09591;K12637;K12638;K20623;K09590;K12640;K25959,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"185",M00372,K15746;K15747;K09838;K14594;K09840;K09841;K09842,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"186",M00373,K00626;K00023;K17865;K14446;K14447;K14448;K14449;K08691;K14451;K01965;K01966;K05606;K01847,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"187",M00374,K00169;K00170;K00171;K00172;K01007;K01595;K00024;K01677;K01678;K00239;K00240;K00241;K18860;K01902;K01903;K15038;K15017;K14465;K14467;K18861;K25774;K14534;K15016;K00626,NA,Pathway modules; Energy metabolism; Carbon fixation
"188",M00375,K01964;K15036;K15037;K15017;K15039;K15018;K15019;K15020;K05606;K01848;K01849;K15038;K15017;K14465;K14466;K18861;K25774;K14534;K15016;K00626,NA,Pathway modules; Energy metabolism; Carbon fixation
"189",M00376,K01961;K01962;K01963;K02160;K14468;K14469;K15052;K05606;K01847;K01848;K01849;K14471;K14472;K00239;K00240;K00241;K01679;K08691;K14449;K14470;K09709,NA,Pathway modules; Energy metabolism; Carbon fixation
"190",M00377,K00198;K05299;K15022;K22015;K25123;K25124;K01938;K01491;K01500;K00297;K25007;K25008;K15023;K14138;K00197;K00194,NA,Pathway modules; Energy metabolism; Carbon fixation
"191",M00378,K11781;K11780;K14941;K11212;K12234,NA,Pathway modules; Energy metabolism; Methane metabolism
"192",M00415,K10247;K10205;K10248;K10249;K10244;K10203;K10250;K15397;K10245;K10246;K10251;K10703;K10258,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"193",M00416,K02827;K02826;K02828;K02829,NA,Pathway modules; Energy metabolism; ATP synthesis
"194",M00417,K02297;K02298;K02299;K02300,NA,Pathway modules; Energy metabolism; ATP synthesis
"195",M00418,K07540;K07543;K07544;K07545;K07546;K07547;K07548;K07549;K07550,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"196",M00419,K10616;K18293;K10617;K10618,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"197",M00422,K00192;K00195;K00193;K00197;K00194,NA,Pathway modules; Energy metabolism; Methane metabolism
"198",M00432,K01649;K01702;K01703;K01704;K00052,NA,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
"199",M00433,K01655;K17450;K01705;K16792;K16793;K05824,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"200",M00525,K00928;K00133;K01714;K00215;K05822;K00841;K05823;K01778;K01586,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"201",M00526,K00928;K12524;K12525;K12526;K00133;K01714;K00215;K03340;K01586;K12526,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"202",M00527,K00928;K12524;K12525;K12526;K00133;K01714;K00215;K10206;K01778;K01586;K12526,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"203",M00528,K10944;K10945;K10946;K10535,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"204",M00529,K00370;K00371;K00374;K02567;K02568;K00368;K15864;K04561;K02305;K00376,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"205",M00530,K00370;K00371;K00374;K02567;K02568;K00362;K00363;K03385;K15876,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"206",M00531,K00367;K10534;K00372;K00360;K00366;K17877;K26139;K26138;K00361,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"207",M00532,K01601;K01602;K19269;K11517;K03781;K14272;K00600;K00830;K15893;K15919;K15918;K00281;K00605;K00382;K02437,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"208",M00533,K00455;K00151;K01826;K05921,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"209",M00534,K14579;K14580;K14578;K14581;K14582;K14583;K14584;K14585;K00152,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"210",M00535,K09011;K01703;K01704;K00052,NA,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
"211",M00537,K15757;K15758;K00055;K00141,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"212",M00538,K15760;K15761;K15762;K15763;K15764;K15765;K00055;K00141,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"213",M00539,K10619;K16303;K16304;K18227;K10620;K10621;K10622;K10623,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"214",M00540,K04116;K04117;K07534;K07535;K07536,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"215",M00541,K04112;K04113;K04114;K04115;K19515;K19516;K07537;K07538;K07539,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"216",M00542,K03221;K03219;K03222;K03226;K03227;K03228;K03229;K03230;K03224;K03225;K12784;K12787;K12785;K12786;K12788;K16041;K16042,NA,Signature modules; Gene set; Pathogenicity
"217",M00543,K08689;K15750;K18087;K18088;K08690;K00462;K10222,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"218",M00544,K15751;K15752;K15753;K15754;K15755;K15756,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"219",M00545,K05708;K05709;K05710;K00529;K05711;K05712;K05713;K05714;K02554;K01666;K04073,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"220",M00546,K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483;K00365;K16838;K16839;K22879;K07127;K13485;K16838;K16840;K13484;K01466;K16842;K01477,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"221",M00547,K03268;K16268;K18089;K18090;K16269,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"222",M00548,K16249;K16243;K16244;K16242;K16245;K16246,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"223",M00549,K00844;K00845;K25026;K12407;K00886;K01835;K15779;K15778;K00963;K12447,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"224",M00550,K02821;K02822;K03475;K03476;K03078;K03079;K03077,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"225",M00551,K05549;K05550;K05784;K05783,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"226",M00552,K01684;K00883;K01631;K00134;K00927,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"227",M00554,K00849;K00965,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"228",M00555,K00108;K11440;K00499;K17755;K00130;K14085,NA,Pathway modules; Amino acid metabolism; Serine and threonine metabolism
"229",M00563,K14082;K16176;K16177;K16178;K16179;K14083;K14084;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K14126;K14128;K14127;K22516;K00125,NA,Pathway modules; Energy metabolism; Methane metabolism
"230",M00564,K15842;K12086;K12087;K12088;K12089;K12090;K03196;K12091;K12092;K12093;K12094;K12095;K12096;K12097;K12098;K12099;K12100;K12101;K12102;K12103;K12104;K12105;K12106;K12107;K12108;K12109;K12110,NA,Signature modules; Gene set; Pathogenicity
"231",M00565,K00975;K00703;K00700;K16149;K01214;K06044;K01236,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"232",M00567,K00200;K00201;K00202;K00203;K11261 formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015];K00205;K11260;K00204;K00672;K01499;K00319;K13942;K00320;K00577;K00578;K00579;K00580;K00581;K00582;K00583;K00584;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K14126;K14128;K14127;K22516;K00125,NA,Pathway modules; Energy metabolism; Methane metabolism
"233",M00568,K03381;K01856;K03464;K01055;K14727,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"234",M00569,K00446;K07104;K10217;K01821;K01617;K10216;K18364;K02554;K18365;K01666;K18366;K04073,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"235",M00570,K17989;K01754;K01652;K01653;K11258;K00053;K01687;K00826,NA,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
"236",M00572,K02169 malonyl-CoA O-methyltransferase [EC:2.1.1.197] [RN:R09543];K00647;K09458;K00059;K02372;K00208;K02170;K09789;K19560;K19561 pimelyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] [RN:R09725],NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"237",M00573,K16593;K00652;K19563;K01935;K01012,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"238",M00574,K11023;K11024;K11025;K11026;K11027,NA,Signature modules; Gene set; Pathogenicity
"239",M00575,K22944;K11004;K07389;K11003;K12340,NA,Signature modules; Gene set; Pathogenicity
"240",M00576,K10928;K10929;K16883;K16884,NA,Signature modules; Gene set; Pathogenicity
"241",M00577,K01906;K00652;K00833;K19563;K01935;K01012,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"242",M00579,K00625;K13788;K15024;K00925,NA,Pathway modules; Energy metabolism; Carbon fixation
"243",M00580,K08094;K13831;K08093;K13812;K13831;K01807,NA,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
"244",M00595,K17222;K17223;K17224;K17225;K22622;K17226;K17227,NA,Pathway modules; Energy metabolism; Sulfur metabolism
"245",M00596,K00958;K00394;K00395;K11180;K11181;K27196;K27187;K27188;K27189;K27190;K27191,NA,Pathway modules; Energy metabolism; Sulfur metabolism
"246",M00597,K08928;K08929,NA,Pathway modules; Energy metabolism; Photosynthesis
"247",M00598,K08940;K08941;K08942;K08943,NA,Pathway modules; Energy metabolism; Photosynthesis
"248",M00608,K10977;K16792;K16793;K10978,NA,Pathway modules; Energy metabolism; Methane metabolism
"249",M00609,K00789;K17462;K01243;K07173;K17216;K17217,NA,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
"250",M00611,NA,M00161;M00163;M00165,Signature modules; Module set; Metabolic capacity
"251",M00612,NA,M00597;M00165,Signature modules; Module set; Metabolic capacity
"252",M00613,NA,M00597;M00376,Signature modules; Module set; Metabolic capacity
"253",M00614,NA,M00598;M00173,Signature modules; Module set; Metabolic capacity
"254",M00615,K02575;K15576;K15577;K15578;K15579;(M00531;K00367;K10534;K00372;K00360;K00366,NA,Signature modules; Module set; Metabolic capacity
"255",M00616,K02048;K02046;K02047;K02045;(M00176;K13811;K00958;K00955;K00957;K00956;K13811;K00860;K00955;K00390;K00380;K00381;K00392,NA,Signature modules; Module set; Metabolic capacity
"256",M00617,NA,M00567;M00357;M00356;M00563,Signature modules; Module set; Metabolic capacity
"257",M00618,NA,M00377;M00579,Signature modules; Module set; Metabolic capacity
"258",M00620,K00169;K00170;K00171;K00172;K01959;K01960;K00024;K01677;K01678;K18209;K18210;K01902;K01903;K00174;K00175;K00176;K00177,NA,Pathway modules; Energy metabolism; Carbon fixation
"259",M00621,K00281;K00282;K00283;K00605;K00382,NA,Pathway modules; Amino acid metabolism; Serine and threonine metabolism
"260",M00622,K18029;K18030;K14974;K18028;K15357;K13995;K01799,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"261",M00623,K18068;K18069;K18067;K04102,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"262",M00624,K18074;K18075;K18077;K18076,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"263",M00625,K02547;K02546;K02545,NA,Signature modules; Gene set; Drug resistance
"264",M00627,K02172;K02171;K18766;K17836,NA,Signature modules; Gene set; Drug resistance
"265",M00630,K18106;K19634;K18102;K18103;K18107,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"266",M00631,K01812;K00041;K01685;K16849;K16850;K00874;K01625;K17463,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"267",M00632,K01785;K00849;K00965;K01784,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"268",M00633,K05308;K18126;K11395;K18978,NA,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
"269",M00636,K18251;K18252;K18253;K18254;K18255;K18256,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"270",M00637,K05599;K05600;K11311;K16319;K16320;K18248;K18249,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"271",M00638,K18242;K18243;K14578;K14581,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"272",M00639,K18294;K18295;K18296;K08721,NA,Signature modules; Gene set; Drug resistance
"273",M00641,K18297;K18298;K18299;K18300,NA,Signature modules; Gene set; Drug resistance
"274",M00642,K18301;K18302;K18303;K18139,NA,Signature modules; Gene set; Drug resistance
"275",M00643,K18129;K18094;K18095;K18139,NA,Signature modules; Gene set; Drug resistance
"276",M00649,K18143;K18144;K18145;K18146;K18147,NA,Signature modules; Gene set; Drug resistance
"277",M00651,K18345;K18344;K07260;K18346;K18351;K18352;K18354;K18353;K18347;K15739;K08641,NA,Signature modules; Gene set; Drug resistance
"278",M00652,K18350;K18349;K18348;K18856;K18866,NA,Signature modules; Gene set; Drug resistance
"279",M00660,K03222;K03226;K03227;K03228;K03229;K03230;K03224;K03225;K03223;K18374;K18376;K18373;K18375;K18377;K18378;K18379;K18380;K18381,NA,Signature modules; Gene set; Plant pathogenicity
"280",M00661,K18385;K18386;K18387,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"281",M00664,K14658;K14659;K14666;K14657,NA,Signature modules; Gene set; Symbiosis
"282",M00672,K12743;K04126;K10852,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams
"283",M00673,K12743;K04126;K04127;K12744;K12745;K04128;K18062;K18063,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams
"284",M00674,K12673;K12674;K12675;K12676,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams
"285",M00675,K18317;K18316;K18315,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams
"286",M00696,K18140;K18141;K18142;K12340,NA,Signature modules; Gene set; Drug resistance
"287",M00697,K07690;K18898;K18899;K12340,NA,Signature modules; Gene set; Drug resistance
"288",M00698,K18900;K18901;K18902;K18903,NA,Signature modules; Gene set; Drug resistance
"289",M00700,K18906;K18907;K18104,NA,Signature modules; Gene set; Drug resistance
"290",M00702,K18906;K18907;K08170,NA,Signature modules; Gene set; Drug resistance
"291",M00704,K18906;K08168,NA,Signature modules; Gene set; Drug resistance
"292",M00705,K18909;K18908,NA,Signature modules; Gene set; Drug resistance
"293",M00714,K18938;K08167,NA,Signature modules; Gene set; Drug resistance
"294",M00718,K18131;K03585;K18138;K18139,NA,Signature modules; Gene set; Drug resistance
"295",M00725,K19077;K19078;K03367;K03739;K14188;K03740,NA,Signature modules; Gene set; Drug resistance
"296",M00726,K19077;K19078;K14205,NA,Signature modules; Gene set; Drug resistance
"297",M00730,K19077;K19078;K19079;K19080,NA,Signature modules; Gene set; Drug resistance
"298",M00736,K19102;K19103;K05375;K19104;K19105;K19106,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams
"299",M00740,K01647;K01659;K27802;K00031;K00261;K19268;K01846;K04835;K19280;K14449;K19281;K19282;K00024,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"300",M00741,K01965;K01966;K11263;K18472;K27094;K27095;K19312;K22568;K01964;K15036;K15037;K05606;K01847;K01848;K01849,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"301",M00744,K07637;K07660;K08477,NA,Signature modules; Gene set; Drug resistance
"302",M00745,K18072;K18073;K07644;K07665;K18297;K18093,NA,Signature modules; Gene set; Drug resistance
"303",M00746,K13632;K18513;K09476,NA,Signature modules; Gene set; Drug resistance
"304",M00761,K10011;K07806;K10012;K13014,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"305",M00763,K05826;K19412;K05828;K05829;K05830;K05831,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"306",M00769,K18304;K19591;K19595;K19594;K19593,NA,Signature modules; Gene set; Drug resistance
"307",M00773,K15988;K24555;K24556;K24557;K24558;K15989;K15990;K15992;K15991;K15993;K15994;K15995;K15996,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"308",M00774,K10817;K24563;K24564;K14366;K14367;K14368;K15997;K14370;K14369,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"309",M00775,K16007;K24565;K24566;K16008;K16009;K13320;K16010,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"310",M00776,K16000;K16001;K16002;K16003;K16004;K16005;K16006,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"311",M00777,K14371;K24567;K24568;K24569;K14372;K14373;K14374;K14375,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"312",M00778,K05551;K05552;K05553;K12420;K05554;K14249;K15884;K15885;K05555;K14250;K15886,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"313",M00779,K05556;K14626;K14627;K14628;K14629;K14630;K14631;K14632,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"314",M00780,K14251;K14252;K14253;K14254;K14255;K14256;K21301,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"315",M00781,K15941;K15942;K15943;K15944,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"316",M00782,K15959;K15960;K15961;K15963;K15964;K15965;K15966;K15967,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"317",M00783,K15968;K15969;K15886;K15970;K15971;K15972,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"318",M00784,K19566;K19567;K19568;K19569;K19570,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"319",M00785,K19741;K19723;K19726;K19725;K19724;K19727,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"320",M00786,K18281;K14132;K17475;K18280;K17827;K17826;K14134;K17825;K18279,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"321",M00787,K19546;K19547;K19550;K19549;K19548;K13037,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"322",M00788,K19835;K19834,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"323",M00789,K14266;K19884;K19885;K19886;K19887;K19888;K19889,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"324",M00790,K14266;K19981;K14257;K19982,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"325",M00793,K00973;K01710;K01790;K00067;K23987,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"326",M00794,K13312;K13313,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"327",M00795,K19855;K12710;K17625,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"328",M00796,K19853;K19854;K13307,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"329",M00797,K13308;K13309;K13310;K13311;K16436;K13326,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"330",M00798,K16435;K13315;K13317;K13316;K16438;K13318,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"331",M00799,K16435;K13315;K16438;K19856;K19857,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"332",M00800,K16435;K16436;K13326;K16438;K13322,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"333",M00801,K16435;K13327;K19858;K13319,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"334",M00802,K16435;K13327;K13328;K13329;K13330,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"335",M00803,K16435;K19859;K16436;K13332,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis
"336",M00804,K10944;K10945;K10946;K10535;K00370;K00371,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"337",M00805,K20075;K20076;K20077;K20078;K20079;K20080;K20081;K20082,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"338",M00808,K20086;K20087;K20088;K20089;K20090,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"339",M00810,K19818;K19819;K19820;K19826;K19890;K19185;K19186;K19187;K19188;K20155,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"340",M00811,K20169;K20170;K20158;K19700;K20171;K20172;K15359;K18276,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"341",M00814,K19969;K19979;K19974;K20424;K20425;K20426;K20427;K20430,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"342",M00815,K19969;K20431;K20432;K20433;K20434;K20435;K20436;K20437;K20438,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"343",M00819,K12250;K15907;K18056;K17747;K18091;K18057;K17476,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"344",M00823,K14251;K14252;K14253;K14254;K14255;K14256;K21301;K14257;K21297,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis
"345",M00824,K15314;K21160;K21161;K21162;K21163;K21164;K21165;K21166;K21167,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"346",M00825,K15314;K21168;K21169;K21170;K21171;K21172;K21173;K21174,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"347",M00826,K20159;K21175;K20156;K21176;K21177;K21178;K21179,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"348",M00827,K21183;K21181;K21182;K16431;K21184;K21185,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"349",M00828,K21183;K21181;K21182;K21188,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"350",M00829,K15320;K21191;K21192,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"351",M00830,K20422;K20420;K20421;K20423,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"352",M00831,K21221;K21222;K21223;K21224;K21225,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"353",M00832,K21183;K21227;K21228;K16431;K21185,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"354",M00833,K21254;K21255;K21256;K21257;K21258;K21259;K21260;K21261;K21262;K21263,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"355",M00834,K21254;K21255;K21256;K21257;K21258,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Enediyne biosynthesis
"356",M00835,K13063;K20261;K06998;K20260;K20262;K21103;K20940,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"357",M00836,K22011;K22012;K21610;K21611;K21612,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"358",M00837,K21780;K21781;K21782;K21783;K21784;K21785;K21786;K21428;K21778;K21779;K21787,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"359",M00838,K21780;K21781;K21782;K21783;K21784;K21785;K27675;K21791;K21792;K21793;K21787,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"360",M00840,K14652;K22100;K01633;K13941;K22099;K00287,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"361",M00841,K01495;K22101;K13941;K11754;K13998,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"362",M00842,K01495;K01737;K00072,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"363",M00843,K01495;K01737;K17745,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"364",M00844,K00611;K01940;K01755;K14681,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"365",M00845,K22478;K00145;K00821;K09065;K01438;K01940;K01755,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"366",M00846,K02492;K01845;K01698;K01749;K01719;K13542;K13543;K02302;K00589;K02303;K02496;K13542;K13543;K02302;K02304;K24866;K02302;K02304;K03794,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"367",M00847,K22225;K22226;K22227;K25033,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"368",M00848,K09460;K02078;K14245;K14246;K22798;K22799;K22800;K21272;K21271;K22801;K22802,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"369",M00849,K00626;K01641;K00021;K00054;K00869;K17942;K25517;K09128;K25518;K03186;K18689;K18690;K22813;K06981;K01823,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis
"370",M00850,K10928;K10929;K10954;K10952;K10953;K10948;K11018,NA,Signature modules; Gene set; Pathogenicity
"371",M00851,K18768;K18970;K19316;K22346;K18794;K19318;K18971;K18793;K19319;K19320;K19321;K19322;K18972;K19211;K18976;K21277;K18782;K18781;K18780;K19099;K19216,NA,Signature modules; Gene set; Drug resistance
