"","Module","KO","Sub_MO","Class"
"34",M00034,K00789;K01611;K00797;K01243;K01244;K00899;K00772;K05810;K08963;K08964;K16054;K09880;K16054;K08965;K08966;K08967;K00815;K08969;K23977;K00832;K00838,NA,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
"35",M00035,K00789;K00552;K00558;K17398;K17399;K01251;K01697;K10150,NA,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
"36",M00036,K00826;K00166;K00167;K11381;K09699;K00382;K00253;K00249;K01968;K01969;K05607;K13766;K01640,NA,Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism
"37",M00037,K00502;K01593;K00669;K00543,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"38",M00038,K00453;K00463;K01432;K14263;K07130;K00486;K01556;K00452;K03392;K10217;K23234,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"39",M00039,K10775;K13064;K00487;K01904;K13065;K09754;K00588;K09753;K09755;K13066;K00083;K22395,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"40",M00040,K01850;K04092;K14170;K00832;K15849;K00220;K24018;K15227,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"41",M00042,K00505;K00501;K01593;K00503;K00553,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"42",M00043,K00431,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"43",M00044,K00815;K00838;K00832;K03334;K00457;K00451;K01800;K01555;K16171,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"44",M00045,K01745;K01712;K01468;K01479;K00603;K13990;K05603;K01458,NA,Pathway modules; Amino acid metabolism; Histidine metabolism
"45",M00046,K00207;K17722;K17723;K01464;K01431;K06016,NA,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
"46",M00047,K00613;K00542;K00933;K27382,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"47",M00048,K00764;K01945;K11787;K11788;K00601;K11175;K08289;K11787;K01492;K01952;K23269;K23264;K23265;K23270;K01933;K11787;K11788;K01587;K11808;K01589;K01588;K01923;K01587;K13713;K01756;K00602;K01492;K06863;K11176,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"48",M00049,K01939;K01756;K00939;K18532;K18533;K00944;K00940,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"49",M00050,K00088;K01951;K00942;K00940;K18533,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
