Row ID,27-1-4,17-2-10,28-1-2,34-1-16,34-1-2,38-1-14,38-1-2,17-2-2,29-1-4,30-1-2,33-1-6,54-1-10,54-1-3,67-1-15,67-1-2,17-2-4,17-2-6,18-1-1,18-1-3,18-1-4,18-1-6,19-1-12,19-1-2,19-1-4,19-1-6,23-1-10,23-1-16,23-1-2,24-1-2,24-1-8,27-1-2,27-1-8,28-1-4,28-1-6,29-1-2,29-1-6,30-1-4,30-1-6,31-1-16,31-1-2,31-1-8,32-1-2,32-1-4,32-1-8,33-1-10,33-1-2,34-1-24,38-1-10,39-1-8,52-1-2,53-1-2,56-1-2,57-1-2,58-1-10,58-1-2,59-1-15,59-1-20,59-1-24,59-1-3,59-1-6,59-1-9,65-1-2,68-1-2,69-1-2,70-1-10,70-1-2,66-1-2
unmapped,0.311839253023554,0.103408438693908,0.296626600992156,0.287303532465922,0.0666281699948768,0.189201391703385,0.293284090095962,0.271336712770881,0.230693740176654,0.304630244553064,0.193986945905788,0.212279205563534,0.287084822694844,0.217653976902165,0.219734696696406,0.247679974506724,0.146611516177755,0.155199998887082,0.126173106930019,0.231817541238559,0.156321661110365,0.089653435098138,0.274697068327519,0.206659395756811,0.150825864543615,0.13878729817973,0.0954565404968653,0.363348728039798,0.176486189625268,0.135805466171841,0.287523135308072,0.21125890072295,0.265632312465589,0.172438944226348,0.241761937878297,0.0823827403271543,0.190417047132661,0.0856387556960963,0.160107283352005,0.259033004571797,0.297241139933849,0.0606740956455857,0.265653398520456,0.182982626566932,0.180733663825852,0.286108835258128,0.214811280535247,0.196085670540869,0.215259342681934,0.264291259380051,0.259814867734682,0.25328811143748,0.267478043231304,0.178403013075815,0.214346743863193,0.0680785205183002,0.247642927727101,0.132122172072129,0.0601392067213119,0.0632769898501723,0.0601196878569066,0.25049666347119,0.253607320105905,0.276099360114842,0.232303450028591,0.246950743282217,0.271512497669976
1,0.0922103840097806,0.0453439627473151,0.104062942125978,0.0955624286127966,0.053396321431727,0.0466503064227185,0.0834033149120219,0.114069162568819,0.0727615710470646,0.0957397791250145,0.0607312074789947,0.0724259738390068,0.102993384209122,0.0581914353686409,0.0613309543304876,0.0919668988649033,0.055463195177448,0.0584372336894632,0.0701125155526886,0.0826388603092878,0.0608842746374378,0.0371275613665816,0.102954712134368,0.0764992429022249,0.0539280181932486,0.0512007598915891,0.0556365397104474,0.101936871575019,0.065124333406984,0.0599113834572437,0.0901989126752757,0.0805755539344197,0.0773889813059882,0.0586107896805794,0.0852243523705129,0.0328195395178221,0.0614377360020266,0.0324391649698218,0.0510682396594884,0.0892560589583904,0.0936736081246445,0.0423056074685458,0.0948535761960191,0.0594774240351822,0.0599753069918662,0.0911871456456318,0.0551448952732455,0.0591909872760357,0.07558528963152,0.0907690343705007,0.0834565308582986,0.0878880783649199,0.0839891108136458,0.0636768063739269,0.0616586641687727,0.0504638438354564,0.086201476088353,0.0562784847754451,0.0431443643364474,0.0459269658226033,0.0416211480566425,0.075602706032915,0.0870446921590847,0.0865170173197454,0.152770824067603,0.0776331061600932,0.07882015705981
root;d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__UBA2968;g__UBA2968,0.000824172761238365,1.89556287995035E-06,0.000663922777342388,0.00102167382168893,0.000121560778701411,9.03776855235E-07,0.0001145809384098,0.00113419238483231,0.000884571108508676,0.000737314307435645,6.42717863777212E-05,1.31922587014109E-06,0.000123059322369108,1.01363084990069E-06,4.71568286028781E-05,0.00134148737793532,0.000574817882470022,0.000349815609207216,3.278678821261E-06,0.0013927253242822,0.000420061192808749,1.12382979061841E-06,0.00114101138329519,0.000724498487260662,0.000192379626963647,8.65761901592954E-05,8.11935827839911E-07,9.98957229871923E-05,0.000263325300917293,1.71798431404614E-06,0.0011701750776313,1.55601377279657E-06,0.000436840684061482,1.31901697114877E-06,0.0013865550741937,1.62891575964414E-06,0.00108327052930798,1.37432412839028E-06,9.36885227624698E-07,0.00095482923924338,0.00134101548468671,0.000140291646571535,0.0013373198848181,0.000113917164381981,1.57064531656664E-06,0.000523803197462205,1.78901806199386E-06,5.70048260993262E-05,0.000308303171074798,0.000385858601240962,0.00119476843545764,0.000357695081223821,0.000977753676445746,8.77064734317644E-07,4.90875854595396E-05,0.00013417290673564,0.00113650449318013,8.98504783697437E-07,0.000104874999709004,0.00013522413293793,0.000120564691023115,0.000455522098771661,0.000855836947315448,0.00104082807877594,8.35050329935647E-07,8.73313654787489E-05,0.000913352758774337
root;d__Bacteria,0.0847775708293874,0.0475165486024353,0.089431467314001,0.0905818237299085,0.0875943922211346,0.0461548107618359,0.086463446052909,0.059980499437387,0.0852582930700772,0.0896995385003694,0.0774448383273427,0.0646579321736594,0.0767668056267861,0.0514491226305643,0.0697884892851911,0.0637429008260673,0.0572069699467781,0.0515612267740694,0.0504662658476972,0.065406376205262,0.0586135127106227,0.0453949431808948,0.0665680820292913,0.0608244793446941,0.0546466485315631,0.0552727532999891,0.0548873549230163,0.084425834284108,0.0555930626122344,0.0546972428273573,0.0626297813163098,0.0430082466136602,0.083208598029896,0.0444061268135384,0.067579528358667,0.0464564964744109,0.0615638208398668,0.0468689575071959,0.0437517906218913,0.075520147343058,0.0733518407824218,0.0889729949196132,0.0714852574553801,0.0554778112683011,0.0455140983895342,0.0755076159300569,0.0413550765412813,0.055166724908627,0.0560849529065588,0.0559134151134057,0.0647910146592592,0.0534819780118618,0.0640559388453321,0.0480067483648653,0.0536718926241513,0.0849001046500572,0.0762606835856541,0.051656112423701,0.0864899815857659,0.0854681114976663,0.0870961298364729,0.0568991685730052,0.0607904933597847,0.0635971323574739,0.0404532871030107,0.0537395248052757,0.0955292919417201
root;d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__UBA9662;g__TMED15,0.00130469864162644,6.24181776897936E-05,0.00117947630697066,0.00163169300087604,4.77279571631108E-06,3.31855564031602E-05,0.000188388619502403,0.00121789257763893,0.000891650387148474,0.0015239790862241,0.000178972205144116,6.69422563335696E-05,0.000341252967031258,0.000104829048541343,0.000194407828885413,0.00125036955914573,0.000315172174985077,0.000232959226744624,0.000120788848963801,0.000936470795919627,0.000317636434691177,5.54710858189855E-05,0.00152790804943593,0.000550580459278624,0.000202401515309518,0.000153044361959013,0.000149889153360875,0.000234980669367324,0.000244647103079313,6.24006844915401E-05,0.00178809169969559,6.8568340254569E-05,0.000747963055612755,8.2996606338438E-05,0.00164615328468587,7.88033246387843E-05,0.000803163156032224,7.47097866461047E-05,7.80113099535499E-05,0.00284430508583249,0.00275243326670641,9.254784601149E-06,0.00231232699862257,0.000224729157527468,9.33764039182365E-05,0.00133854428506258,7.66239811457749E-05,0.000151036693362864,0.000545346761076235,0.000825325824147669,0.00194437465112268,0.000480472698942531,0.00124113202100525,0.000182353198239434,0.00013844531295626,1.44033452958594E-05,0.0025380782824674,0.000204337378227965,9.42827411368404E-06,8.81095858866462E-06,7.70924377737182E-06,0.000861795134687619,0.00116543121080895,0.00134897575040329,7.42831728281884E-05,0.000218556870355781,0.0013861854734933
root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__GCA-002718135;g__AG-337-I02,0.00645924258163286,0.0115444856789547,0.00475194387399448,0.00322700281169293,0.00133644100539291,0.0154534545034495,0.000660544094285328,0.0067510311595978,0.0070354142099481,0.00500810883378849,0.00976217021981611,0.00860943716006257,0.0063570958405611,0.00903099310384425,0.00908497430645827,0.0057514970370619,0.012802970277268,0.0119923862502236,0.00698866348923036,0.00635067314888119,0.0085279004789145,0.0146825768690932,0.00528704597980986,0.0071703209199658,0.0118256251017425,0.0122538423470717,0.00499120151539703,0.000538921798722619,0.0100122598131217,0.0121133618064483,0.00622492709539625,0.010544975670428,0.00686238633743898,0.00906979744025479,0.006112034706263,0.0114195320320492,0.00935045522621806,0.0120394992970714,0.0137041637490499,0.00408984421654069,0.00316460967105755,0.00280082445976419,0.00402923334548095,0.0106486367841629,0.0131211709745977,0.00230474083325802,0.0133929267626638,0.0116610243680264,0.00899066194759467,0.00794515443570358,0.00742900192106259,0.00865628233737763,0.0064832833432936,0.0068565870269008,0.0109847023082235,0.00275419218851269,0.00434851071403258,0.00861755938044211,0.00174073875765611,0.00178023860075858,0.00175652533299376,0.0085763815837699,0.00728600986994456,0.00628319129599938,0.00940666043404464,0.010114080898757,0.00697428254210469
root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_B,0.0146080504728967,3.31723503991311E-05,0.00928994504484271,0.00127513773829636,9.66200108423949E-06,3.36939308842299E-05,3.05799429878978E-05,0.0100679606616397,0.0108465726570077,0.0120931317470872,0.00458702795394229,4.33991484972055E-05,0.0106410815967826,4.38150109311913E-05,0.00390837147627782,0.0141931875181518,0.0161934500352306,0.0023646607750801,4.96734348849454E-05,0.0134826749856771,0.0147860469007125,2.63955920052939E-05,0.00915186213684683,0.0175861077919778,0.01091671431578,0.00486015591374426,3.92049014014129E-05,3.32503434855979E-05,0.0140176654395102,2.48670949863627E-05,0.0100492329087188,4.45797945906219E-05,0.015148383509963,3.21637215272431E-05,0.00958316205651888,3.98903370472854E-05,0.0128933387398966,3.54651976465157E-05,4.44395892969982E-05,0.00122997142988471,0.00274987392179471,1.59236735049181E-05,0.00360176745797754,0.00807533267191156,3.72643300597184E-05,0.000227589056351984,3.22698352314365E-05,0.00295743705374007,0.0144839786661941,0.0160403306955696,0.0116178305519802,0.00780260113980999,0.00868007119281323,3.85527150606582E-05,0.00293277329207839,2.73636838273841E-05,0.000683540973769344,3.75343127383284E-05,1.60047863040933E-05,1.81885383084331E-05,1.75120521588223E-05,0.0127224735976472,0.009242780536662,0.00756953044367772,4.81424668475943E-05,0.00598197007863539,0.0109792835319963
root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.00281215149131852,0.00310384881857013,0.00258714011829343,0.00327560398464636,0.00544442120131734,0.0029862481878568,0.00451249073722265,0.00284162763159614,0.00296384669981305,0.0026730772444131,0.00279810243318701,0.00221890408727295,0.00235949346889693,0.00243510097692433,0.00288325977206113,0.00311218229872138,0.00280222992436796,0.00291259896129979,0.00331808099682978,0.00319273252634167,0.00259003614976641,0.00282202305268825,0.00295411422954274,0.0029736838691178,0.00246870259071231,0.00286040550851184,0.00309008277221802,0.00576417421050112,0.00250128527018335,0.00726928664515867,0.00276230596809853,0.0023983618287,0.0027936904152256,0.00279432054290468,0.00293794891819521,0.00309635167031556,0.0029193676658218,0.00307447760221975,0.00247896708278736,0.00363690411471562,0.00339933816153074,0.00614370709760864,0.00329539130387906,0.00262986693732395,0.00242790968974212,0.00361835821468984,0.00256241394569959,0.00283339501607327,0.00229952792871604,0.00245851951439575,0.00287990215566515,0.00309426191080978,0.00310146035119507,0.00305500713587494,0.00291765767478291,0.00517082768356102,0.00362370815528627,0.00254456554743114,0.00579376174169323,0.00558643105577892,0.00547348919141855,0.00340173939312588,0.00325230018986094,0.00302715605715022,0.00241790638359671,0.00258475863889056,0.00289751932536538
root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__GCA-002707645;g__GCA-002707645,0.000732495367552128,0.000122433052442507,0.000668930450925442,0.000249774830359569,9.02174800034411E-07,0.000645240188584338,0.000179552488667373,0.000674510763650049,0.000926267720975618,0.000598564729992714,0.00103340243191256,0.000260191933157058,0.000817634536125518,0.000265702073751388,0.000577848622320858,0.00075593290643925,0.00158613066045049,0.000370740784836679,0.000196981862987088,0.00138558418449402,0.00181589773347743,0.000147970922431424,0.000592622365285948,0.00108107181427845,0.00141132565476111,0.00151229054745995,5.18768998573429E-05,0.000285767747537232,0.00129025329602394,0.000184726991327266,0.000537603390614363,0.000203085730912833,0.000761618333820137,0.000211008894435825,0.000604476532125414,0.00014881050417549,0.00130047243316165,0.000162475652511917,0.00029386966639828,0.000458631850149865,0.000319918113962673,1.60597732784644E-06,0.000443116547158423,0.00111670481663812,0.000291308510772625,0.000488154681279266,0.0002734159679651,0.000834485704546596,0.00106470369961461,0.0010233656075757,0.000948181655960149,0.00120329566357364,0.000758631903363128,0.00019402197253079,0.00109042383656506,2.61879005379262E-06,0.000403205906682204,0.000194714681834819,1.4258809616374E-06,1.89818078919784E-06,2.09356460407861E-06,0.00118302468577543,0.00106052033524573,0.000754347636349432,0.000323418623437684,0.00100801170087993,0.000902394548723208
root;d__Bacteria;p__Bacteroidota,0.000251842068965737,0.000455849023290917,0.000221048185933025,0.000119810690985484,0.000105321632300791,0.000284661466372299,0.000157057894155974,0.000168292971285438,0.000238866377836614,0.000240156508982158,0.000242639726863585,0.000319455618400319,0.000215455236664376,0.000342018667418105,0.000303967170463856,0.000177017308790721,0.000202900790854715,0.000314920994999637,0.000498301151118021,0.000220123095650931,0.000203810150608489,0.000444690803303161,0.00014201690828407,0.000240903772727164,0.000194851241319216,0.000214764807201607,0.000410201579307978,0.000235530500982838,0.000188443015937079,0.000471455661503745,0.000169633824955734,0.000341104152559889,0.000286600569136609,0.000407474781241035,0.000162028825693208,0.000418269368948623,0.000210871793723136,0.000417832710700877,0.000320758272431109,0.000117926872048329,0.000102008175766384,0.000147695474252454,0.000119466702033293,0.000183022445821612,0.000307877279014054,0.000117058362911906,0.000259576394277978,0.000194993619286861,0.000183804009898518,0.000159762610184925,0.000183688203333131,0.000190968463438626,0.000195684661640248,0.000304722795301404,0.000203450101476941,0.000155630951768247,0.000114645601572584,0.000316737428265987,0.000110316627052396,0.00023492112095565,0.000138224524212814,0.000194901896945701,0.000206354144061546,0.000195348381580048,0.000227968740072432,0.00020920537778446,0.000216663481292959
